!T.O.O.H.!,death metal//progressive metal//grindcore metal
Gravemoon,black metal
Graven Dusk,doom metal
Graven Rite,heavy metal
Gravenimage,power metal
Gravenlord,black metal
Gravenveld IX,black metal//death metal
Graveolence,death metal//grindcore metal
Graver,black metal
Gravered,death metal
Graverot,speed metal
Graves at Sea,sludge metal//doom metal
Graves in Autumn,black metal
Graves of Nosgoth,death metal//gothic metal
Graves of the Endless Fall,sludge metal
Graves over Autumn,death metal
Gravesight,death metal
Gravespawn,black metal
Gravespell,black metal//death metal
Gravestate,black metal
Gravestorm,black metal
Gravewitch,thrash metal
Graveworms,death metal
Graveyard After Graveyard,death metal//thrash metal
Graveyard BBQ,groove metal
Graveyard Disturbance,thrash metal
Graveyard Ghoul,death metal
Graveyard Manifestation,death metal
Graveyard Shifters,thrash metal
Graveyhard,stoner metal
Gravferd,black metal
Gravfest,black metal//thrash metal
Gravil,death metal
Graviora Manent,death metal//gothic metal//thrash metal//doom metal
Graviter,death metal
Gravity,metalcore metal//groove metal//black metal//death metal//power metal//progressive metal//thrash metal//grindcore metal
Gravity Rain,progressive metal
Gravity of Silence,groove metal//death metal
Gray Ghost,sludge metal
Graycode,death metal
Grayscale,gothic metal
Grayskull,stoner metal//doom metal
Grazed,death metal//thrash metal
Grazniygrad,black metal
Greasus,sludge metal//stoner metal
Great American Desert,doom metal
Great Coven,doom metal
Great Flesh Mind,death metal
Great Sorrow,death metal//heavy metal//doom metal
Greatdayforup,stoner metal
Grecco,death metal//power metal//progressive metal
Greed & Rapacity,black metal//death metal
Greed Killing,death metal//grindcore metal
Greedhale,death metal//grindcore metal
Green & Wood,doom metal
Green Altar,sludge metal//stoner metal
Green Asylum,stoner metal//doom metal
Green Back,heavy metal
Green Bastard,stoner metal//doom metal
Green Cachalot,stoner metal
Green Carnation,death metal//progressive metal//gothic metal
Green Division,gothic metal
Green Fiend,stoner metal
Green Novice,folk metal
Green Sleeves,heavy metal
Green Terror,death metal//grindcore metal
Green Yeti,stoner metal//doom metal
Greenfly,death metal//grindcore metal
Greenland,black metal//viking metal
Greeting Death,death metal
Greg(o)rian,sludge metal//doom metal
Gregorian Ponks,progressive metal//thrash metal
Gremlin,death metal//thrash metal
Gremwar,groove metal//death metal
Grendel,groove metal//black metal//death metal//power metal//viking metal//gothic metal//folk metal
Grenzlinie,thrash metal
Grethor,death metal
Greus,sludge metal//stoner metal
Grevance,black metal//folk metal
Greven Dark,black metal
Grey,black metal//death metal//doom metal
Grey Forest,black metal
Grey Haven,progressive metal
Grey Lethal,death metal
Grey Malcolm,thrash metal
Grey Matter,death metal//progressive metal
Grey Mind,black metal
Grey Moray,sludge metal//stoner metal
Grey November,gothic metal//doom metal
Grey Widow,sludge metal//doom metal
Grey Wolf,heavy metal
GreySky BurnedEarth,black metal
Greybeard,death metal//progressive metal
Greyhaven,progressive metal
Greymon,power metal//heavy metal
Greywoods,sludge metal//black metal//progressive metal
Greyzone,heavy metal
Gridlink,grindcore metal
Gridlock,death metal//thrash metal
Grief,sludge metal//groove metal//black metal//death metal//doom metal
Grief Division,black metal
Grief of God,heavy metal//doom metal
Grief's Exquisite Veil,gothic metal//doom metal
Griefhammer,stoner metal//doom metal
Grievance Honor,groove metal
Grieved,black metal
Grieved Sometime Valley,doom metal
Grieving Mirth,black metal
Grievious,symphonic metal
Griffen,heavy metal
Griffin L.O.G.,gothic metal
Griffith,heavy metal
Griffon,black metal
Grifo,death metal//grindcore metal
Grift,black metal
Grigorian,death metal//grindcore metal
Grigorien,black metal
Grill,deathcore metal//death metal
Grilled Human Brain,death metal
Grim Comet,doom metal
Grim Demise,thrash metal
Grim Destroyer,black metal
Grim Funeral,black metal
Grim Landscape,black metal
Grim Monolith,black metal//death metal//thrash metal
Grim Overlord,black metal
Grim Raper,death metal//grindcore metal
Grim Reaper,heavy metal
Grim Reefer,sludge metal//stoner metal//doom metal
Grima Morstua,black metal
Grimaced,thrash metal//speed metal
Grimalkin,black metal
Grime,sludge metal//groove metal//thrash metal
Grime Dirge,death metal//grindcore metal
Grimegod,death metal//gothic metal//doom metal
Grimfaith,gothic metal//doom metal
Grimfaug,black metal
Grimfist,groove metal//death metal//thrash metal
Grimgod,heavy metal
Grimgotts,symphonic metal//power metal
Grimhowl Grave,black metal//death metal
Grimind,progressive metal
Grimloc,groove metal//stoner metal
Grimlord,black metal//heavy metal
Grimlorn,black metal
Grimm,black metal//folk metal
Grimm's Journey,death metal
Grimmage,stoner metal//doom metal
Grimmd,black metal
Grimmdrasil,black metal
Grimmness,black metal//power metal
Grimmoon,black metal
Grimmortal,deathcore metal
Grimmsleep,black metal
Grimmstine,heavy metal
Grimmthurs,death metal//thrash metal
Grimnacht,black metal
Grimne,black metal
Grimner,viking metal//folk metal
Grimnir,black metal//pagan metal
Grimnismal,black metal
Grimoir,black metal
Grimond,heavy metal
Grimorc,black metal
Grimorium Verum,black metal//symphonic metal
Grimorivm,black metal
Grimpen Mire,sludge metal//doom metal
Grimskull,heavy metal
Grimuack,black metal
Grimwind,death metal//power metal
Grimwod,black metal
Grimwulf,black metal
Grinchfinger,grindcore metal
Grind,death metal//heavy metal//grindcore metal
"Grind 6,4",death metal//grindcore metal
Grind Division,grindcore metal
Grind Inc.,death metal
Grind Machine,thrash metal
Grind Minded,death metal
Grind Zero,death metal//thrash metal
Grindboroks,death metal//grindcore metal
Grinded Artery,death metal//grindcore metal
Grinded Nig,death metal//grindcore metal
Grinder,death metal//thrash metal//heavy metal//speed metal//grindcore metal
Grinding Cocks,death metal//grindcore metal
Grinding Reality,death metal
Grinding Souls,death metal//grindcore metal
Grinding Terror,grindcore metal
Grindmaster Dead,death metal//doom metal//folk metal
Grindomatic,death metal//grindcore metal
Grindpad,death metal//thrash metal
Grindscape,death metal
Grindustry,death metal//grindcore metal
Gringo,stoner metal
Grinning Death's Head,black metal
Grinter,death metal
Grip Inc.,groove metal
Grip of Death,heavy metal//doom metal
GripShifter,thrash metal
Grippiud,death metal//heavy metal//doom metal
Gripshift,progressive metal
Grisly Amputation,death metal
Gristnam,death metal//grindcore metal
Grizzly Rider,sludge metal
Groblje,black metal
Grodek,black metal//gothic metal
Grog,death metal//grindcore metal
Groggy Elks,heavy metal
Grohm,black metal//thrash metal
Grohot Vomil,death metal//grindcore metal
Groinchurn,grindcore metal
Grok,black metal
Grol,death metal//grindcore metal
Groll,sludge metal//black metal//doom metal
Grom,black metal//pagan metal
Grom'Otoric,thrash metal
Gromkult,black metal
Gromritual,black metal
Groms,death metal//doom metal
Gromth,symphonic metal
Gronde,black metal//thrash metal
Grondh,black metal
Grooms of the Stool,death metal//progressive metal
Groove Lords,groove metal//thrash metal
Groovy Seeds,groove metal//power metal
Grope,groove metal//death metal//thrash metal
Gross Grolland,groove metal//thrash metal
Gross Lobotomy,death metal
Groteska,groove metal//gothic metal//industrial metal
Grotesque Communion,black metal
Grotesque Disfigurement,death metal//grindcore metal
Grotesque Embalment,death metal
Grotesque Glory,death metal
Grotesque Master,black metal
Grotesque Orchestra,black metal//symphonic metal
Grotesque Organ Defilement,grindcore metal
Ground,sludge metal
Ground Inch,groove metal
Ground Meat,groove metal//thrash metal
Ground Zero,groove metal//death metal//power metal//gothic metal//industrial metal//thrash metal//heavy metal
Ground Zero System,industrial metal
GroundSoul,death metal//thrash metal
Groundswell,death metal//gothic metal//doom metal
Grove,death metal//doom metal
Grow Jewel,power metal//speed metal
Growl,death metal
Growler,heavy metal
Growth,groove metal//death metal//thrash metal
Grozeth Nebulae,black metal
Grrrmba,sludge metal//doom metal
Grst,black metal
Grudge,death metal//power metal//progressive metal//doom metal
Grudge Connection,industrial metal
Grudge/Curse,thrash metal
Grudgegrind,grindcore metal
Grue,black metal
Gruel,sludge metal//death metal//doom metal
Gruesome,death metal
Gruesome Fate,death metal
Gruesome Feast,death metal
Gruesome Funeral,death metal
Gruesome Karnage,death metal
Gruff,death metal//gothic metal
Grum Mortuus Sum,death metal
Grumo,death metal
Grungy Morphins,death metal//thrash metal
Grunks,thrash metal
Grunt,death metal//thrash metal
Grunter,sludge metal
Gruntslug,metalcore metal//death metal
Gruu,stoner metal//doom metal
Gryal,power metal
Gryn,groove metal//thrash metal
Grystl,black metal
Grzegorz Kupczyk,thrash metal//heavy metal
Guahaihoque,folk metal
Guantanamo Bay City Rollers,thrash metal//grindcore metal
Guantanamo Party Program,sludge metal
Guarana,thrash metal//heavy metal
Guardian,thrash metal//heavy metal//speed metal
Guardians of Andromeda,power metal
Guardians of Dreams,heavy metal
Guardians of Steel,black metal
Guardians of Time,power metal
Gudgen,heavy metal
Gudger,stoner metal//heavy metal
Gudlos,black metal
Guehenom,death metal//doom metal
Guenhyvar,death metal//progressive metal
Guerra,death metal//grindcore metal
Guerra Total,black metal//death metal//thrash metal
Guerreiro Noturno,thrash metal
Guerreiros do Templo do Abismo,heavy metal
Guerrera,heavy metal
Guerrero Eterno,thrash metal
Guerrero Inmortal,heavy metal
Guerreros del Metal,heavy metal
Guevnna,sludge metal//doom metal
Guidance of Sin,death metal
Guide to Oblivion,metalcore metal//death metal//thrash metal
Guiding Light Demise,metalcore metal//death metal
Guido Campiglio,heavy metal
Guignol Noir,black metal
GuilThee,groove metal//death metal//progressive metal//thrash metal
Guild of Destruction,black metal//death metal
Guilhotina,thrash metal
Guillen,death metal//progressive metal//experimental metal
Guilles,black metal//death metal
Guilty,heavy metal
Guilty Vice,thrash metal
Guilty as Charged,thrash metal//heavy metal
Guilty as Sin,stoner metal//thrash metal
Guinevere,progressive metal//heavy metal
Guitar Pete's Axe Attack,heavy metal
Guitbox,thrash metal
Gulch,groove metal
Guloo,death metal//grindcore metal
Gun Cloud,power metal//progressive metal
Gunfire,power metal//speed metal
Gung - Ho,thrash metal
Gunmetal Grey,death metal//thrash metal
Gunpowder,death metal//thrash metal
Gunpowder Killture,power metal//progressive metal//thrash metal//heavy metal
Guns of Barisal,sludge metal//progressive metal
Gunsen,death metal//power metal
Gunslinger,heavy metal
Gurgabs,death metal
Gurkhorg,black metal
Gurkkhas,death metal
Guro,death metal//grindcore metal
Gurt,sludge metal
Gurthang,black metal//doom metal
Gurtholfinn,black metal//doom metal//folk metal
Gurut,black metal
Gus Drax,progressive metal
Gush,thrash metal//heavy metal
Gustavo Diaz,heavy metal
Gut Absorber,death metal
Gut-Shot,stoner metal
GutRot,death metal
GutStump,grindcore metal
Gutha,black metal
Guthorm,death metal//folk metal
Guthravir,black metal
Gutlock,death metal//thrash metal
Gutmung,death metal
Gutrectomy,death metal
Guts & Glory,death metal
Guts for Glory,heavy metal
Guts of Vile,black metal
Gutsaw,death metal
Gutted Alive,death metal
Gutted Christ,death metal
Gutted Corpse,death metal
Gutted Out,death metal
Gutted Pulp,death metal
Gutted Remains,death metal
Gutter Instinct,black metal//death metal
Gutter Sirens,power metal
Gutter Tactic,death metal//thrash metal
GutterSkull,black metal
Guttersludge,sludge metal//death metal
Guttertrash,black metal//thrash metal//speed metal
Gutthroat,death metal
Guttrench,death metal
Guttural,death metal//power metal
Guttural Abomination,death metal
Guttural Corpora Cavernosa,death metal
Guttural Forms,death metal//grindcore metal
Guttural Jesus,death metal
Guttural Secrete,death metal
Gutworm,metalcore metal//death metal
Gutwrench,death metal//heavy metal//doom metal
Guverra,metalcore metal//thrash metal
Gverr,death metal//progressive metal
Gwaremm Korriged,folk metal
Gwyllgi,black metal
Gwynn ap Nudd,power metal
Gyda Gash,stoner metal
Gygax,heavy metal
Gyibaaw,black metal//death metal
Gylliath,black metal
Gymir,black metal//folk metal
Gypsy Rose,thrash metal//heavy metal
Gyrdleah,black metal
H-Bomb,heavy metal
H-George,thrash metal
H-Tray,metalcore metal//thrash metal
H.A.L,metalcore metal//death metal//thrash metal
H.A.V.O.C.,heavy metal
H.C. Minds,sludge metal//doom metal
H.E.A.L.,heavy metal//doom metal
H.E.W.D.A.T.,black metal
H.I.V. Positive,thrash metal
H.M.P.,thrash metal
H.O.G.A.R.,heavy metal
H.O.S.T,heavy metal
H.O.S.T.I.L.E.,power metal//progressive metal//thrash metal
H.W.B.,thrash metal
H.pylori,death metal//thrash metal
H/Armless,metalcore metal//groove metal//thrash metal
H24,avant-garde metal//gothic metal
H5N1,death metal
H8tank,groove metal//thrash metal
HAL 9000,thrash metal
HAVOCxx,metalcore metal//death metal
HB,symphonic metal
HCCE Orwell,black metal//death metal
HCT,thrash metal//heavy metal
HDK,death metal//gothic metal
HI-GH,speed metal
HI8US,metalcore metal//death metal//thrash metal
HKY,sludge metal//black metal//doom metal
HSN,black metal
HSOD,thrash metal
HYD,power metal//progressive metal//thrash metal
Haapoja,death metal//progressive metal
Haaska,black metal
Haat,black metal
Haate,thrash metal
Habacus Sucabah,black metal
Habeas Corpus,death metal//heavy metal
Habit of Force,groove metal
Habitance,thrash metal
Habitante,death metal//doom metal
Habitat,death metal
Habitual,death metal//progressive metal//thrash metal
Haborim,death metal//power metal//thrash metal
Haborym Mastema,black metal
Haboryn,black metal//death metal
Habsyll,doom metal
Haceldama,black metal
Hachas,thrash metal
Haciendo Patria,heavy metal
Hacksaw,death metal
Hacksaw to the Throat,death metal//progressive metal
Hacksore,death metal
Hacktician,death metal
HackxWhore,death metal//grindcore metal
Hacride,groove metal//death metal//progressive metal
Hadal,death metal//symphonic metal//doom metal//folk metal
Hadal Maw,death metal
Hadamma,power metal
Hadan,death metal
Haddock,stoner metal//doom metal
Hadean Reign,deathcore metal//death metal
Hadens,black metal
Hader,black metal
Hades,black metal//death metal//power metal//viking metal//thrash metal//heavy metal
Hades Adorned,black metal
Hades Rising,black metal//death metal
Hades Server,black metal//death metal
Hadiann,black metal
Hadit,black metal//death metal
Hadoth,black metal
Hadron,stoner metal//doom metal
Haecceity,death metal
Haegen,folk metal
Haematic Hate,metalcore metal//death metal
Haemophilia,black metal
Haemorrhage,death metal
Haemorrhage of Distress,death metal
Haereticus,black metal
Haertefall,death metal//industrial metal
Hag,black metal//pagan metal//symphonic metal
Hag Graef,black metal
Hagal,black metal
Hagalar,black metal
Hagalaz,black metal//viking metal//folk metal
Hagall,viking metal//gothic metal
Hagalma,power metal//heavy metal
Haganat,death metal
Hagatyr,black metal
Hagazussa,black metal
Hagel Stone,heavy metal
